Fuel Type Code,City,State,ZIP_Code,Status Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,ID,Open Date
ELEC,Newark,CA,94560,E,2,0,ChargePoint Network,204655,1/12/2022
ELEC,Newark,CA,94560,E,2,0,ChargePoint Network,204656,1/12/2022
ELEC,Newark,CA,94560,E,2,0,ChargePoint Network,204657,1/12/2022
ELEC,Newark,CA,94560,E,2,0,ChargePoint Network,204658,1/12/2022
ELEC,Newark,CA,94560,E,1,0,ChargePoint Network,204659,1/12/2022
ELEC,Houston,TX,77024,E,2,0,ChargePoint Network,204661,1/12/2022
ELEC,East Petersburg,PA,17520,E,0,1,ChargePoint Network,204663,1/12/2022
ELEC,Olympia,WA,98501,E,0,1,ChargePoint Network,204664,1/12/2022
ELEC,San Mateo,CA,94402,E,2,0,ChargePoint Network,204665,1/12/2022
ELEC,Middletown,NY,10940,E,2,0,ChargePoint Network,204666,1/12/2022
ELEC,Middletown,NY,10940,E,2,0,ChargePoint Network,204667,1/12/2022
ELEC,Middletown,NY,10940,E,2,0,ChargePoint Network,204669,1/12/2022
ELEC,Middletown,NY,10940,E,2,0,ChargePoint Network,204670,1/12/2022
ELEC,Los Angeles,CA,90034,E,1,0,ChargePoint Network,204679,1/12/2022
ELEC,Los Angeles,CA,90067,E,2,0,ChargePoint Network,204680,1/12/2022
ELEC,Boston,MA,02128,E,2,0,ChargePoint Network,204681,1/12/2022
ELEC,Boston,MA,02128,E,2,0,ChargePoint Network,204682,1/12/2022
ELEC,Los Angeles,CA,90067,E,1,0,ChargePoint Network,204683,1/12/2022
ELEC,Los Angeles,CA,90067,E,2,0,ChargePoint Network,204684,1/12/2022
ELEC,Johnston,IA,50131,E,0,2,CHARGELAB,204686,1/12/2022
ELEC,Queens,NY,11101,E,4,0,FLO,204691,1/12/2022
ELEC,Cupertino,CA,95014,E,2,0,ChargePoint Network,204698,1/13/2022
ELEC,Land O' Lakes,FL,34638,E,2,0,ChargePoint Network,204699,1/13/2022
ELEC,Cupertino,CA,95014,E,2,0,ChargePoint Network,204700,1/13/2022
ELEC,Cupertino,CA,95014,E,2,0,ChargePoint Network,204701,1/13/2022
ELEC,Overland Park,KS,66211,E,2,0,ChargePoint Network,204703,1/13/2022
ELEC,Waipahu,HI,96797,E,2,0,ChargePoint Network,204704,1/13/2022
ELEC,Colonie,NY,12205,E,2,0,ChargePoint Network,204706,1/13/2022
ELEC,Plano,TX,75024,E,2,0,ChargePoint Network,204707,1/13/2022
ELEC,Chicago,IL,60611,E,2,0,ChargePoint Network,204708,1/13/2022
ELEC,Lemon Grove,CA,91945,E,2,0,ChargePoint Network,204709,1/13/2022
ELEC,Lemon Grove,CA,91945,E,2,0,ChargePoint Network,204710,1/13/2022
ELEC,Prairie Village,KS,66208,E,2,0,ChargePoint Network,204711,1/13/2022
ELEC,Bernalillo,NM,87004,E,2,0,ChargePoint Network,204714,1/13/2022
ELEC,Bernalillo,NM,87004,E,2,0,ChargePoint Network,204715,1/13/2022
ELEC,Pismo Beach,CA,93449,E,2,0,ChargePoint Network,204716,1/13/2022
ELEC,East Petersburg,PA,17520,E,0,1,ChargePoint Network,204717,1/13/2022
ELEC,Dayton,OH,45402,E,4,0,FLO,204723,1/13/2022
ELEC,Denver,CO,80202,E,4,0,Non-Networked,204728,1/10/2022
ELEC,Freeport,FL,32439,E,1,0,Blink Network,204735,1/13/2022
ELEC,Windsor,NC,27983,E,1,0,Blink Network,204736,1/13/2022
ELEC,Garden City,UT,84028,E,0,1,ChargePoint Network,204745,1/14/2022
ELEC,Garden City,UT,84028,E,0,1,ChargePoint Network,204746,1/14/2022
ELEC,Austin,TX,78735,E,2,0,ChargePoint Network,204747,1/14/2022
ELEC,East Petersburg,PA,17520,E,0,1,ChargePoint Network,204748,1/14/2022
ELEC,Cleveland,OH,44103,E,2,0,ChargePoint Network,204753,1/14/2022
ELEC,Rutland,VT,05701,E,1,0,ChargePoint Network,204756,1/14/2022
ELEC,Lindenhurst,NY,11757,E,2,0,ChargePoint Network,204759,1/14/2022
ELEC,Lindenhurst,NY,11757,E,2,0,ChargePoint Network,204760,1/14/2022
ELEC,Gardner,MA,01440,E,0,1,ChargePoint Network,204762,1/14/2022
ELEC,Fremont,CA,94555,E,2,0,ChargePoint Network,204763,1/14/2022
ELEC,Fremont,CA,94555,E,2,0,ChargePoint Network,204764,1/14/2022
ELEC,Fremont,CA,94555,E,2,0,ChargePoint Network,204765,1/14/2022
ELEC,Thompsonville,MI,49683,E,2,0,ChargePoint Network,204768,1/14/2022
ELEC,Reno,NV,89502,E,2,0,ChargePoint Network,204769,1/14/2022
ELEC,Reno,NV,89502,E,2,0,ChargePoint Network,204770,1/14/2022
ELEC,Reno,NV,89502,E,2,0,ChargePoint Network,204771,1/14/2022
ELEC,South Burlington,VT,05403,E,0,1,ChargePoint Network,204772,1/14/2022
ELEC,Reno,NV,89502,E,2,0,ChargePoint Network,204773,1/14/2022
ELEC,Germantown,MD,20874,E,2,0,ChargePoint Network,204779,1/14/2022
ELEC,The Plains,OH,45780,E,2,0,ChargePoint Network,204780,1/14/2022
ELEC,Kirkwood,CA,95646,E,2,0,ChargePoint Network,204783,1/14/2022
ELEC,Trumbull,CT,06611,E,0,4,Electrify America,204787,1/14/2022
ELEC,Llano,TX,78643,E,0,8,Tesla,204816,1/10/2022
ELEC,St. Cloud,FL,34769,E,0,8,Tesla,204817,1/10/2022
ELEC,Brooksville,FL,34602,E,0,12,Tesla,204818,1/10/2022
ELEC,Dacula,GA,30019,E,2,0,SHELL_RECHARGE,204820,1/11/2022
ELEC,Suwanee,GA,30024,E,1,0,SHELL_RECHARGE,204821,1/11/2022
ELEC,Suwanee,GA,30024,E,2,0,SHELL_RECHARGE,204822,1/11/2022
ELEC,Mansfield,TX,76063,E,2,0,SHELL_RECHARGE,204823,1/11/2022
