city,state,total_dc_fast_kw,total_level2_kw,stress_score,investment_category
Overland Park,KS,800,357,0.1192,Saturated Market
Rocky Ridge,MD,0,42,100.0,Critical Opportunity
Burlington,MA,1000,357,0.0954,Saturated Market
Morganton,NC,150,28,0.636,Stable/Growing
Sharonville,OH,0,14,100.0,Critical Opportunity
Howes Cave,NY,0,28,100.0,Critical Opportunity
Cortlandt Manor,NY,0,28,100.0,Critical Opportunity
Los Alamitos,CA,200,63,0.477,Saturated Market
Harrison,NY,600,42,0.159,Saturated Market
Salem,SC,0,14,100.0,Critical Opportunity
Land O Lakes,FL,0,70,100.0,Critical Opportunity
Waterford Twp,MI,350,42,0.2726,Saturated Market
Paradise,CA,400,21,0.2385,Saturated Market
Lake City,SC,100,0,0.954,Stable/Growing
Jenkintown,PA,0,70,100.0,Critical Opportunity
West Hempstead,NY,0,21,100.0,Critical Opportunity
Fairfield,ME,100,14,0.954,Stable/Growing
Hagerstown,MD,600,266,0.159,Saturated Market
Lafayette,LA,650,161,0.1468,Saturated Market
Hanalei,HI,0,28,100.0,Critical Opportunity
Locust Grove,GA,100,91,0.954,Stable/Growing
Ellensburg,WA,1000,105,0.0954,Saturated Market
Richmond,RI,400,42,0.2385,Saturated Market
Canton,TX,0,28,100.0,Critical Opportunity
Skaneatles,NY,200,0,0.477,Saturated Market
Waupaca,WI,50,14,1.9079,High Opportunity
Cottonwood,CA,600,0,0.159,Saturated Market
Sunderland,VT,50,7,1.9079,High Opportunity
Paw Paw,MI,200,0,0.477,Saturated Market
Lee's Summit,MO,100,56,0.954,Stable/Growing
Vienna,VA,100,182,0.954,Stable/Growing
Caribou,ME,0,35,100.0,Critical Opportunity
Troy,VT,0,14,100.0,Critical Opportunity
"Yonkers,",NY,0,28,100.0,Critical Opportunity
New Orleans,LA,600,602,0.159,Saturated Market
Weimar,TX,600,0,0.159,Saturated Market
Driftwood,TX,0,28,100.0,Critical Opportunity
San Lorenzo,CA,0,42,100.0,Critical Opportunity
Parkville,MD,0,70,100.0,Critical Opportunity
Cocoa,FL,900,105,0.106,Saturated Market
8900 E. Buckeye Ave.,WA,100,0,0.954,Stable/Growing
Trenton,MI,0,14,100.0,Critical Opportunity
Fort Walton Beach,FL,350,35,0.2726,Saturated Market
Port Charlotte,FL,100,84,0.954,Stable/Growing
Albany,NY,1850,2212,0.0516,Saturated Market
Seal Beach,CA,400,84,0.2385,Saturated Market
Airway Heights,WA,0,91,100.0,Critical Opportunity
Phoenix,MD,0,42,100.0,Critical Opportunity
DeLand,FL,600,140,0.159,Saturated Market
Centereach,NY,50,42,1.9079,High Opportunity
Aptos,CA,0,28,100.0,Critical Opportunity
New Bern,NC,1150,91,0.083,Saturated Market
South San Francisco,CA,2750,1106,0.0347,Saturated Market
Richton Park,IL,200,0,0.477,Saturated Market
Coleville,CA,200,0,0.477,Saturated Market
Shamrock,TX,0,14,100.0,Critical Opportunity
Sunland Park,NM,0,14,100.0,Critical Opportunity
Mobile,AL,900,133,0.106,Saturated Market
Gainesville,GA,1000,147,0.0954,Saturated Market
Eddystone,PA,0,14,100.0,Critical Opportunity
Rifle,CO,800,112,0.1192,Saturated Market
Decatur,GA,950,322,0.1004,Saturated Market
Bakerfield,CA,0,14,100.0,Critical Opportunity
Pawling,NY,0,14,100.0,Critical Opportunity
Brooklin,ME,0,14,100.0,Critical Opportunity
Kill Devil Hills,NC,0,21,100.0,Critical Opportunity
Arkoma,OK,0,14,100.0,Critical Opportunity
North Plains,OR,50,0,1.9079,High Opportunity
Wadsworth,OH,0,14,100.0,Critical Opportunity
Berkeley Springs,WV,0,28,100.0,Critical Opportunity
Council Bluffs,IA,500,0,0.1908,Saturated Market
Rocky Mount,VA,100,0,0.954,Stable/Growing
Aransas Pass,TX,0,21,100.0,Critical Opportunity
Gambrills,MD,100,56,0.954,Stable/Growing
Gaylord,MI,0,21,100.0,Critical Opportunity
Vinita,OK,100,14,0.954,Stable/Growing
Westhampton Beach,NY,0,56,100.0,Critical Opportunity
Long Island,NY,750,105,0.1272,Saturated Market
Lincoln,NE,500,189,0.1908,Saturated Market
Newburgh,NY,1100,903,0.0867,Saturated Market
Essex,MD,100,56,0.954,Stable/Growing
Leland,NC,600,42,0.159,Saturated Market
Vernal,UT,700,0,0.1363,Saturated Market
DANVILLE,VA,100,0,0.954,Stable/Growing
Hiawassee,GA,0,28,100.0,Critical Opportunity
N/A,MN,0,63,100.0,Critical Opportunity
Marion,IN,50,14,1.9079,High Opportunity
enola,PA,0,28,100.0,Critical Opportunity
Farmington,NY,900,308,0.106,Saturated Market
Stratford,NJ,100,14,0.954,Stable/Growing
